INFO  - 2014-09-02 23:13:04.464; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-09-02 23:13:04.464; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-09-02 23:13:04.464; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-09-02 23:13:04.464; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-09-02 23:13:04.464; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-09-02 23:13:04.477; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-02 23:13:04.479; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-02 23:13:04.480; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-09-02 23:13:04.499; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-09-02 23:13:04.499; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-09-02 23:13:04.503; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/etc/solr/solr-4.9.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/etc/solr/solr-4.9.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-09-02 23:13:04.504; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-09-02 23:13:04.509; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@2778a6a[collection1] main
INFO  - 2014-09-02 23:13:04.515; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /etc/solr/solr-4.9.0/example/solr/collection1/conf
INFO  - 2014-09-02 23:13:04.515; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/etc/solr/solr-4.9.0/example/solr/collection1/conf/}
INFO  - 2014-09-02 23:13:04.516; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/etc/solr/solr-4.9.0/example/solr/collection1/conf
WARN  - 2014-09-02 23:13:04.516; org.apache.solr.rest.ManagedResource; No stored data found for /rest/managed
WARN  - 2014-09-02 23:13:04.516; org.apache.solr.rest.ManagedResource; No registered observers for /rest/managed
INFO  - 2014-09-02 23:13:04.516; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-09-02 23:13:04.517; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/etc/solr/solr-4.9.0/example/solr/collection1/conf
INFO  - 2014-09-02 23:13:04.520; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/etc/solr/solr-4.9.0/example/solr/collection1/conf
INFO  - 2014-09-02 23:13:04.520; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-09-02 23:13:04.521; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-09-02 23:13:04.521; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-09-02 23:13:04.521; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/etc/solr/solr-4.9.0/example/solr/collection1/conf
INFO  - 2014-09-02 23:13:04.521; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/etc/solr/solr-4.9.0/example/solr/collection1/conf
INFO  - 2014-09-02 23:13:04.522; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2014-09-02 23:13:04.522; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2014-09-02 23:13:04.524; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2014-09-02 23:13:04.524; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-09-02 23:13:04.534; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-09-02 23:13:04.543; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-09-02 23:13:04.545; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2014-09-02 23:13:04.546; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-09-02 23:13:04.565; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-09-02 23:13:04.566; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /etc/solr/solr-4.9.0/example/solr/collection1/conf/elevate.xml
INFO  - 2014-09-02 23:13:04.598; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-09-02 23:13:04.599; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@2778a6a[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-09-02 23:13:04.599; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-09-02 23:13:04.602; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/etc/solr/solr-4.9.0/example
INFO  - 2014-09-02 23:13:04.602; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-09-02 23:13:04.642; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-09-02 23:13:04.653; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=53 
INFO  - 2014-09-02 23:13:04.654; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-09-02 23:13:04.654; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2014-09-02 23:13:04.654; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2014-09-02 23:13:04.654; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2014-09-02 23:13:04.655; org.apache.solr.spelling.suggest.SolrSuggester; reload()
INFO  - 2014-09-02 23:13:04.655; org.apache.solr.spelling.suggest.SolrSuggester; build()
